GID,tif,min,max,mean,count,sum,std,median,percentile_90
1995_1241,1995_1241_rbr_w_offset.tif,-72.95813751220703,473.1187744140625,230.15973781270046,3118,717638.0625,96.17945619597869,237.328369140625,345.997314453125
2021_1619,2021_1619_rbr_w_offset.tif,-24.72388458251953,508.4975280761719,292.08204255935146,1727,504425.6875,126.88673070684617,319.6374816894531,435.62236938476565
2003_735,2003_735_rbr_w_offset.tif,94.087158203125,248.3272247314453,163.4022216796875,3,490.2066650390625,63.92835672751754,147.7922821044922,228.2202362060547
2006_872,2006_872_rbr_w_offset.tif,-20.944942474365234,392.35821533203125,221.44307585685485,992,219671.53125,100.70358284376691,257.01861572265625,321.76271667480466
2007_362,2007_362_rbr_w_offset.tif,-330.63763427734375,177.0040740966797,-68.02577780837004,1362,-92651.109375,98.78061040536173,-61.82594299316406,52.01074981689454
2006_676,2006_676_rbr_w_offset.tif,-418.9627380371094,627.4852294921875,264.37322043932596,179047,47335232.0,130.60277441315316,270.9206237792969,428.7058471679687
2006_690,2006_690_rbr_w_offset.tif,-341.4520263671875,578.7064208984375,275.24044836008375,22928,6310713.0,142.9526105611836,288.96990966796875,451.2755432128906
2007_867,2007_867_rbr_w_offset.tif,-123.85257720947266,182.48294067382812,33.62588648426061,683,22966.48046875,53.70130138218584,28.519054412841797,111.09062042236334
1996_625,1996_625_rbr_w_offset.tif,-262.220703125,510.1894226074219,94.7033012748195,35456,3357800.25,153.56427832989033,51.75645446777344,319.94947814941406
1998_845,1998_845_rbr_w_offset.tif,-106.43640899658203,495.6293640136719,219.2088872212693,1749,383396.34375,96.50863016638026,232.24197387695312,328.1361022949219
1996_640,1996_640_rbr_w_offset.tif,-297.5901794433594,601.8443603515625,234.57816457651202,32374,7594233.5,169.10598807337183,232.5032501220703,468.3280853271485
2006_714,2006_714_rbr_w_offset.tif,-86.41997528076172,274.67596435546875,69.16296928327645,586,40529.5,101.04163189661557,36.56983947753906,196.48263549804688
2001_314,2001_314_rbr_w_offset.tif,-99.83616638183594,474.14202880859375,239.26590756865372,1493,357224.0,130.6430547197515,259.5973815917969,398.3244384765625
1988_20,1988_20_rbr_w_offset.tif,-686.1619262695312,465.509765625,120.12848923696185,22856,2745656.75,118.11892768319791,138.38839721679688,256.6162872314453
