GID,fwi_90th,dmc_90th,dc_90th,isi_90th,bui_90th,ffmc_90th
1986_11,3.2586921578051875,5.826480548274061,34.26710079430557,0.8749924616751565,7.3685920114965295,76.36953996153323
1986_17,0.442823087813354,1.4343665412956499,11.453635131835945,0.02676422014815546,2.1777271429666025,38.0503244744027
1986_261,8.421483844577814,10.542663516275727,77.16139891128056,2.031991147465982,15.60476156131202,83.86310908200667
1987_1,0.08774085568697318,0.2642669298915548,4.661950366210945,0.006914122428146438,0.43740461663513486,30.792391589142312
1987_12,0.6051805485108961,2.7996439821898025,10.701025756835946,0.0076820758536524,3.007574831875671,32.89980375808293
1987_14,5.652885318913025,10.659915022722515,37.67812398804264,0.6483714763674687,12.787792811859601,65.7654854217282
1987_17,0.6358265226576904,1.9389710792754506,16.306738626118737,0.01039018102890158,3.088620507868627,33.812991842070915
1987_2,5.285209904906423,10.05809952067395,31.674553033447303,1.849092169396246,10.635028165001879,83.11262920951205
1987_29,2.364421866993798,3.874012571346862,46.21620550537112,0.46586883181760586,6.226766093673519,60.23335935706163
1987_3,4.72427584980141,9.319691970365309,28.61813781738287,1.3996863232291843,9.763767270830204,80.76601070145259
1987_47,0.6725320251726958,2.087885409536766,25.071547068243024,0.0602942355026487,3.254721539520393,42.442101945795805
1987_5,2.3062216234175272,4.32018668495094,27.93726130143986,0.695082435283465,5.979115631587476,67.95602046697812
1987_8,5.639352989857523,9.77201462348457,49.84716305351041,0.8706854089222252,12.993566413491868,75.3626751960987
1988_16,5.321144607775986,7.924082541713846,45.69904972534185,1.054846948126747,9.918065465313841,78.16310469746016
1988_19,4.1839586570708045,6.362233540862109,45.37844095561363,0.7759010056206017,9.619415911570721,72.35161585388715
1988_20,3.9952294022825177,6.568309181193125,43.18187789173526,0.929266677336885,8.615674250757111,76.67127211330356
1988_21,7.170950203601289,12.72287660250013,39.59760596127589,1.4598156930888369,13.773797048034542,81.00013902224461
1988_22,3.8207111010244077,6.048022959058752,46.93942355033931,0.8262261920657674,8.399448370215108,74.10687249820927
1988_26,0.8558613097375563,2.603308582043057,23.059416559612057,0.2009428022873069,3.9473460937618934,50.8532436777154
1988_30,NA,NA,NA,NA,NA,NA
1988_41,0.7964494571866407,2.8826336811588713,16.386830399263825,0.16875892149827287,3.715945539330914,49.408294180352215
1988_47,1.54389945564124,3.42580089605781,31.371510893370438,0.21530501687832337,5.376617827152161,50.65988302656992
1988_60,0.4431706638075299,1.287722442516406,18.550764474697573,0.03733180710477406,2.198941180216215,39.78066527600035
1988_65,0.6460632919361309,1.9606608638161716,23.865931512095067,0.08023990279967141,3.1009878425893227,43.69151523053061
1988_7,0.26337616816849013,0.7101893211586885,5.465554431152363,0.7889808766256169,1.0720697077633201,69.50226128677285
1988_9,1.8212651012737555,4.420649702226786,18.421202502441425,0.42939491971473215,5.406014843263728,59.64585788975148
1989_1039,4.87594815276256,7.713139675293283,58.1899241692003,0.42601087311927677,11.754563837106588,58.55441020586129
1989_1042,0.4070473990812191,1.1009214464280683,11.159105578613318,0.20913639085754515,1.8053279714606134,50.81135841652938
1989_1161,1.1832790023884197,2.8434347549297794,27.749485017157948,0.22874438227832827,4.508309244198712,51.603583502520976
1989_1166,4.428727913047536,7.283130214498237,56.923565404984785,0.32321051178746035,11.027410232406123,54.113554530514705
1989_1190,6.183704285920312,8.850484272274489,61.71691543309723,0.7406180771399498,13.002488276492588,69.80009935284855
1989_1276,3.743548682307712,5.544676934356275,42.242755059814485,0.8460784170611287,8.349480987442897,74.78085737509457
1989_1712,1.635583514285598,3.1685564865516285,35.33167480468752,0.36335763907136465,5.176530483577717,57.15455762239846
1989_795,0.37561059432086374,0.9303788390188387,14.521389849853561,0.4708892904736506,1.6034341236400373,59.126135001871226
1989_928,4.461072848782882,7.335987635194487,56.899430293432935,0.3501168948346821,11.083266139343767,53.89337901690697
1989_965,2.135009724042143,4.187639912133976,44.188017148067374,0.03131205398232879,6.759470280437023,38.940126523021924
1990_1,0.03984121882271549,0.33341097565808814,0.665417696827852,0.7572731077365055,0.16531120308924657,68.9349778828335
1990_11,0.8361631757680037,2.382380924853871,28.432965393066432,0.35582868427024406,3.8228039236930518,56.07960105073889
1991_23,2.5533865407955694,4.436551260902485,45.340574946590095,0.6414276122082654,6.916178632169941,68.04496669694484
1991_26,1.8575263930525696,3.7974260593262095,32.52944806094667,0.3719631384148572,6.07948251802482,57.37615112183649
1991_440,NA,NA,NA,NA,NA,NA
1991_63,NA,NA,NA,NA,NA,NA
1991_9,NA,10,15,NA,9.763767270830204,80
1992_6,2.1622208031814627,3.840879725696796,32.976687368061135,0.5341333371830749,6.011652352336206,62.879482298415624
1993_10,4.277468920948461,6.716044318427048,33.37284545962688,1.1153104606093334,8.934918065178389,77.42490599037728
1993_248,0.011109534872565142,0.02921126054449024,2.843646836635051,0.6160626180352752,0.05551207551370277,65.11894014786785
1993_8,3.150409268144808,5.504811837494943,27.498712472639433,0.7626292391977578,7.336382593582174,72.3452817987587
1995_1102,2.987103732480702,5.573239612572053,24.347575094469796,0.7114033557758117,7.019591333688281,70.3340315435536
1995_1106,2.533357148865756,4.3883689030324495,32.517322926012476,0.6403000096290072,6.541716268709057,68.32046775547846
1995_1121,2.5869476399139355,5.2422738645210885,28.235944109361572,0.6466516321291114,6.425735335186406,68.51092407438945
1995_1146,3.873191472599829,6.489214675991173,51.67430498081829,0.3931741920600834,9.873496050501744,55.058382206694205
1995_1164,2.9059912199689384,5.284331902004243,36.04831452074842,0.595380500477707,7.142213325641605,63.91975344776684
1995_1165,6.038439967953705,10.015493305260803,59.99808964577143,0.5665670775108165,14.122030370972203,64.35575630404637
1995_1180,1.3843793291861386,4.879817847956242,15.300349092616898,0.03791657462608521,5.3770275836547405,39.68720256998493
1995_1192,1.8876144518969848,6.406968030086192,15.460258465576224,0.07467997598141307,6.378460383551102,42.5064904400212
1995_1212,1.742348894596165,5.775487502300136,12.32136814575196,0.15747671454006176,5.694604203308682,47.7967366462608
1995_1220,5.461024920002886,8.633603863207163,61.615130628772775,1.0770774907746021,12.582209664188422,77.55825909366948
1995_1226,2.1116166467805124,6.498041762944245,12.29822214965821,0.17951856784850304,6.362300957423976,49.10002407516686
1995_1232,8.551614084929685,11.30716429022492,64.182448281907,2.1196882580744445,15.69189853045468,84.23213857848059
1995_1235,3.9122065027251844,8.596177994750201,33.13134753303592,0.20727060536056804,10.427510963234697,51.080676108926156
1995_1238,NA,NA,NA,NA,NA,NA
1995_1241,5.99994570403871,9.523482773963613,88.08620570074176,0.3125508081628123,14.922698564532311,54.996803107752356
1995_1250,2.1472123937712726,3.895282609404022,61.940651567317595,0.014977388897876373,6.533118786988189,34.09399088434442
1995_1255,4.5365787615415725,7.1965429765192255,92.72699759892846,0.1404488979539833,11.913570259800798,47.972438730916586
1995_1267,1.067291396661419,3.310520409146429,22.917325615516113,0.3565729006955721,4.503943433191119,56.30488393889792
1995_1271,2.3817937911867606,4.142520919189575,69.33226785503882,0.03194482521895031,7.208202879011665,34.335103055530695
1995_1276,2.0146292827101586,3.718447275871805,30.261408240606208,0.2609678678040477,5.6158671842841414,53.220491278835965
1995_1297,4.622826876566723,7.063104874124678,78.6815074561096,0.300103039327577,11.537055260750805,54.590175023637414
1995_1298,0.7930518343363777,2.507969819026872,14.53638188933291,0.16498347343596134,3.504399703701319,49.456682915722205
1995_1303,10.603033349500404,14.479145906492018,69.96777629556985,2.556276589930374,19.08477416241722,85.52028188299238
1995_1304,NA,NA,NA,NA,NA,NA
1995_1315,NA,NA,NA,NA,NA,NA
1995_1317,6.994175512471765,10.835984628880848,96.24595400618021,0.5169230696925347,16.664905604639213,62.74798976317113
1995_1319,5.669842490016641,8.976723870930204,85.08715551040692,0.2799035459556594,14.206477271427508,53.892290859191434
1995_1322,1.5609186686518628,3.3361105266587723,25.14583544509561,0.2195981679515511,5.311130188847058,51.41977181075224
1995_1324,0.7018121025019607,2.2220500619265353,17.718967272949243,0.19494826983662844,3.1966129002871178,50.27150179481413
1995_1327,0.7633109603791929,2.387333662709701,18.003324169921903,0.2481107612421366,3.489316901418428,52.09920894552692
1995_1337,0.4854046062441688,1.4749867593199268,16.305313344533815,0.020219676878911987,2.3950102981034216,36.96778445070594
1995_1397,2.355097318698009,4.048458732058946,28.477113209819898,0.3024680098691303,5.8347985723015645,53.66515768743791
1995_1398,0.39784576732936555,1.22763508088486,11.071719286321853,0.007360938034643585,1.9460342567122437,31.355939055473563
1995_1399,4.839885947411413,7.790982060277989,90.1492153524008,0.15986705916975558,12.986208267713058,49.0237982289372
1995_1400,NA,NA,NA,NA,NA,NA
1995_1403,1.042810122588552,4.549170423132103,14.649001819399611,0.009576726564387905,4.558514628532955,33.48454671531357
1995_1665,NA,NA,NA,NA,NA,NA
1995_1673,2.702061933628774,4.780528662598357,65.72044702524904,0.00606332549256857,8.089901544802103,31.72869819618228
1996_529,5.692537262214576,9.084978579573406,41.39976074829104,1.056044847166512,11.332646729918165,78.39006089412185
1996_540,7.773600619746713,11.663875006004549,53.610488653564474,1.6416628835353209,15.109438594475886,82.49962194266612
1996_561,2.6484909007803843,5.417413326313847,26.5714519196611,0.35253589631664317,7.169161546208364,57.18382227876118
1996_568,3.27485029680222,5.851282449406065,37.73570963339591,0.43412424381516046,8.397315574348498,60.156670511182675
1996_569,7.386923778924647,11.761594118278838,51.15576606955983,1.3910988948424046,14.868582282237513,81.159685317866
1996_575,5.376948626942061,8.25146488513375,48.54104533123983,1.3523696253737962,11.417893286449956,80.09042206886411
1996_579,5.444330895727961,9.541155349327337,48.47070017508706,0.7731018659810035,12.048637061894443,72.3687305979927
1996_580,7.91306671105356,11.422053653999466,50.24426805419925,2.068544961686847,14.56502827990009,84.21379190715274
1996_582,4.97567753017688,9.109499091928509,39.1849279273569,0.5863281174981749,11.520851577647983,65.58622641670257
1996_583,7.930675809971946,11.408904430164824,56.537815275248775,2.042203786954965,14.462354063214002,84.18238052747247
1996_584,3.8080378782965125,6.049022807769432,52.12556059113838,0.4071372625418209,9.374774276048008,59.30469101565235
1996_585,5.475777056808361,8.333019595677428,66.79822394804188,0.7021784970372589,12.31571953273092,71.28090920467082
1996_586,5.903382689696048,8.682064304194352,64.55662667431768,0.9977149033423262,12.545656573570021,77.39595368892162
1996_587,7.555494094870162,12.210085461400041,61.35478210589862,1.57489968119045,15.908056517294202,81.82311789879913
1996_588,6.806155348902695,10.53315230633429,71.72718828812165,0.8718437068406313,14.78822342035727,75.3232864578685
1996_590,5.857415116973277,10.064008642478287,56.00352000849793,0.6325204661317576,13.072234951097663,68.38923919091977
